2022-04-17 08:09:55 [schedule-pool-3] INFO  c.r.s.s.i.SysLogininforServiceImpl - <0><1515256005259952128> [127.0.0.1]内网IP[admin][Error][验证码错误]
2022-04-17 08:15:22 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 08:15:22 [main] INFO  c.r.framework.config.JacksonConfig - 初始化 jackson 配置
2022-04-17 08:15:22 [main] INFO  o.f.s.b.ProcessEngineAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 08:15:22 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2022-04-17 08:15:22 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 08:15:22 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 08:15:23 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 08:15:23 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2022-04-17 08:15:24 [main] INFO  liquibase.changelog - Reading from oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-04-17 08:15:24 [main] INFO  liquibase.lockservice - Successfully released change log lock
2022-04-17 08:15:24 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2022-04-17 08:15:24 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2022-04-17 08:15:24 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2022-04-17 08:15:26 [main] INFO  io.undertow - starting server: Undertow - 2.2.16.Final
2022-04-17 08:15:26 [main] INFO  org.xnio - XNIO version 3.8.6.Final
2022-04-17 08:15:26 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.6.Final
2022-04-17 08:15:26 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2022-04-17 08:15:27 [main] INFO  com.fzshuai.OloasApplication - Started fzshuaiApplication in 11.517 seconds (JVM running for 12.463)
2022-04-17 08:15:27 [main] INFO  c.r.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2022-04-17 08:15:27 [main] INFO  c.r.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2022-04-17 08:15:27 [main] INFO  c.r.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2022-04-17 08:15:27 [main] INFO  c.r.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2022-04-17 08:15:27 [main] INFO  com.fzshuai.oss.factory.OssFactory - 初始化OSS工厂
2022-04-17 08:15:27 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2022-04-17 08:15:27 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2022-04-17 08:15:27 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2022-04-17 08:15:28 [RMI TCP Connection(9)-172.36.137.55] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-17 08:39:38 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.16.Final
2022-04-17 08:39:38 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-04-17 08:39:38 [SpringApplicationShutdownHook] INFO  c.r.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-04-17 08:39:38 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-04-17 08:39:38 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-17 08:39:38 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-17 08:39:38 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-17 08:39:38 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-04-17 10:12:32 [main] INFO  com.fzshuai.OloasApplication - Starting fzshuaiApplication using Java 1.8.0_311 on FZSHUAI with PID 24456 (F:\Idea Project\oloas-back\fzshuai-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-04-17 10:12:32 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-04-17 10:12:32 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-04-17 10:12:34 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-04-17 10:12:34 [redisson-netty-2-2] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 10:12:34 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 10:12:34 [main] INFO  c.fzshuai.framework.config.RedisConfig - 初始化 redis 配置
2022-04-17 10:12:35 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-04-17 10:12:35 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-04-17 10:12:36 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-04-17 10:12:36 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-04-17 10:12:36 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-04-17 10:12:36 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-04-17 10:12:37 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 10:12:37 [main] INFO  c.r.framework.config.JacksonConfig - 初始化 jackson 配置
2022-04-17 10:12:37 [main] INFO  o.f.s.b.ProcessEngineAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 10:12:38 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2022-04-17 10:12:38 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:12:38 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:12:38 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:12:38 [main] INFO  o.f.c.e.i.db.CommonDbSchemaManager - performing create on common with resource org/flowable/common/db/create/flowable.mysql.create.common.sql
2022-04-17 10:12:38 [main] INFO  o.f.c.e.i.db.CommonDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:39 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Creating database history table with name: oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Reading from oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Table FLW_EVENT_DEPLOYMENT created
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Table FLW_EVENT_RESOURCE created
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Table FLW_EVENT_DEFINITION created
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Index ACT_IDX_EVENT_DEF_UNIQ created
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Table FLW_CHANNEL_DEFINITION created
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Index ACT_IDX_CHANNEL_DEF_UNIQ created
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - ChangeSet org/flowable/eventregistry/db/liquibase/flowable-eventregistry-db-changelog.xml::1::flowable ran successfully in 76ms
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Columns TYPE_(varchar(255)) added to FLW_CHANNEL_DEFINITION
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Columns IMPLEMENTATION_(varchar(255)) added to FLW_CHANNEL_DEFINITION
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - ChangeSet org/flowable/eventregistry/db/liquibase/flowable-eventregistry-db-changelog.xml::2::flowable ran successfully in 22ms
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - Set Channel Definition type and implementation columns
2022-04-17 10:12:39 [main] INFO  liquibase.changelog - ChangeSet org/flowable/eventregistry/db/liquibase/flowable-eventregistry-db-changelog.xml::3::flowable ran successfully in 47ms
2022-04-17 10:12:39 [main] INFO  liquibase.lockservice - Successfully released change log lock
2022-04-17 10:12:39 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2022-04-17 10:12:39 [main] INFO  o.f.i.s.i.d.IdentityLinkDbSchemaManager - performing create on identitylink with resource org/flowable/identitylink/service/db/create/flowable.mysql.create.identitylink.sql
2022-04-17 10:12:39 [main] INFO  o.f.i.s.i.d.IdentityLinkDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:39 [main] INFO  o.f.i.s.i.d.IdentityLinkDbSchemaManager - performing create on identitylink.history with resource org/flowable/identitylink/service/db/create/flowable.mysql.create.identitylink.history.sql
2022-04-17 10:12:39 [main] INFO  o.f.i.s.i.d.IdentityLinkDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:40 [main] INFO  o.f.e.s.i.d.EntityLinkDbSchemaManager - performing create on entitylink with resource org/flowable/entitylink/service/db/create/flowable.mysql.create.entitylink.sql
2022-04-17 10:12:40 [main] INFO  o.f.e.s.i.d.EntityLinkDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:40 [main] INFO  o.f.e.s.i.d.EntityLinkDbSchemaManager - performing create on entitylink.history with resource org/flowable/entitylink/service/db/create/flowable.mysql.create.entitylink.history.sql
2022-04-17 10:12:40 [main] INFO  o.f.e.s.i.d.EntityLinkDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:40 [main] INFO  o.f.e.s.i.d.EventSubscriptionDbSchemaManager - performing create on eventsubscription with resource org/flowable/eventsubscription/service/db/create/flowable.mysql.create.eventsubscription.sql
2022-04-17 10:12:40 [main] INFO  o.f.e.s.i.d.EventSubscriptionDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:40 [main] INFO  o.f.t.s.impl.db.TaskDbSchemaManager - performing create on task with resource org/flowable/task/service/db/create/flowable.mysql.create.task.sql
2022-04-17 10:12:40 [main] INFO  o.f.t.s.impl.db.TaskDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:40 [main] INFO  o.f.t.s.impl.db.TaskDbSchemaManager - performing create on task.history with resource org/flowable/task/service/db/create/flowable.mysql.create.task.history.sql
2022-04-17 10:12:40 [main] INFO  o.f.t.s.impl.db.TaskDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:40 [main] INFO  o.f.v.s.i.db.VariableDbSchemaManager - performing create on variable with resource org/flowable/variable/service/db/create/flowable.mysql.create.variable.sql
2022-04-17 10:12:40 [main] INFO  o.f.v.s.i.db.VariableDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:40 [main] INFO  o.f.v.s.i.db.VariableDbSchemaManager - performing create on variable.history with resource org/flowable/variable/service/db/create/flowable.mysql.create.variable.history.sql
2022-04-17 10:12:40 [main] INFO  o.f.v.s.i.db.VariableDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:40 [main] INFO  o.f.j.s.impl.db.JobDbSchemaManager - performing create on job with resource org/flowable/job/service/db/create/flowable.mysql.create.job.sql
2022-04-17 10:12:40 [main] INFO  o.f.j.s.impl.db.JobDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:41 [main] INFO  o.f.b.s.impl.db.BatchDbSchemaManager - performing create on batch with resource org/flowable/batch/service/db/create/flowable.mysql.create.batch.sql
2022-04-17 10:12:41 [main] INFO  o.f.b.s.impl.db.BatchDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:41 [main] INFO  o.f.e.impl.db.ProcessDbSchemaManager - performing create on engine with resource org/flowable/db/create/flowable.mysql.create.engine.sql
2022-04-17 10:12:41 [main] INFO  o.f.e.impl.db.ProcessDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:43 [main] INFO  o.f.e.impl.db.ProcessDbSchemaManager - performing create on history with resource org/flowable/db/create/flowable.mysql.create.history.sql
2022-04-17 10:12:43 [main] INFO  o.f.e.impl.db.ProcessDbSchemaManager - Found MySQL: majorVersion=8 minorVersion=0
2022-04-17 10:12:43 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2022-04-17 10:12:43 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2022-04-17 10:12:45 [main] INFO  io.undertow - starting server: Undertow - 2.2.16.Final
2022-04-17 10:12:45 [main] INFO  org.xnio - XNIO version 3.8.6.Final
2022-04-17 10:12:45 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.6.Final
2022-04-17 10:12:45 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2022-04-17 10:12:46 [main] INFO  com.fzshuai.OloasApplication - Started fzshuaiApplication in 14.64 seconds (JVM running for 15.534)
2022-04-17 10:12:46 [main] INFO  c.r.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2022-04-17 10:12:46 [main] INFO  c.r.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2022-04-17 10:12:46 [main] INFO  c.r.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2022-04-17 10:12:46 [main] INFO  c.r.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2022-04-17 10:12:46 [main] INFO  com.fzshuai.oss.factory.OssFactory - 初始化OSS工厂
2022-04-17 10:12:46 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2022-04-17 10:12:46 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2022-04-17 10:12:46 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2022-04-17 10:12:47 [RMI TCP Connection(3)-172.36.137.55] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-17 10:13:45 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.16.Final
2022-04-17 10:13:45 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-04-17 10:13:45 [SpringApplicationShutdownHook] INFO  c.r.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-04-17 10:13:45 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-04-17 10:13:45 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-17 10:13:45 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-17 10:13:45 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-17 10:13:45 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-04-17 10:14:41 [main] INFO  com.fzshuai.OloasApplication - Starting fzshuaiApplication using Java 1.8.0_311 on FZSHUAI with PID 23536 (F:\Idea Project\oloas-back\fzshuai-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-04-17 10:14:41 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-04-17 10:14:41 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-04-17 10:14:43 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-04-17 10:14:43 [redisson-netty-2-7] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 10:14:43 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 10:14:43 [main] INFO  c.f.framework.config.RedisConfig - 初始化 redis 配置
2022-04-17 10:14:44 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-04-17 10:21:29 [main] INFO  com.fzshuai.OloasApplication - Starting fzshuaiApplication using Java 1.8.0_311 on FZSHUAI with PID 26144 (F:\Idea Project\oloas-back\fzshuai-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-04-17 10:21:29 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-04-17 10:21:29 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-04-17 10:21:31 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-04-17 10:21:31 [redisson-netty-2-1] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 10:21:31 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-04-17 10:21:31 [main] INFO  c.f.framework.config.RedisConfig - 初始化 redis 配置
2022-04-17 10:21:32 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-04-17 10:21:32 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-04-17 10:21:33 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-04-17 10:21:33 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-04-17 10:21:33 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-04-17 10:21:33 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-04-17 10:21:34 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 10:21:34 [main] INFO  c.f.framework.config.JacksonConfig - 初始化 jackson 配置
2022-04-17 10:21:35 [main] INFO  o.f.s.b.ProcessEngineAutoConfiguration - No deployment resources were found for autodeployment
2022-04-17 10:21:35 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2022-04-17 10:21:35 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:21:35 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:21:36 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-04-17 10:21:36 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2022-04-17 10:21:36 [main] INFO  liquibase.changelog - Reading from oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-04-17 10:21:36 [main] INFO  liquibase.lockservice - Successfully released change log lock
2022-04-17 10:21:36 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2022-04-17 10:21:36 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2022-04-17 10:21:36 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2022-04-17 10:21:38 [main] INFO  io.undertow - starting server: Undertow - 2.2.16.Final
2022-04-17 10:21:38 [main] INFO  org.xnio - XNIO version 3.8.6.Final
2022-04-17 10:21:38 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.6.Final
2022-04-17 10:21:38 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2022-04-17 10:21:39 [main] INFO  com.fzshuai.OloasApplication - Started fzshuaiApplication in 10.388 seconds (JVM running for 11.14)
2022-04-17 10:21:39 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2022-04-17 10:21:39 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2022-04-17 10:21:39 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2022-04-17 10:21:39 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2022-04-17 10:21:39 [main] INFO  com.fzshuai.oss.factory.OssFactory - 初始化OSS工厂
2022-04-17 10:21:39 [main] INFO  c.f.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2022-04-17 10:21:39 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2022-04-17 10:21:39 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2022-04-17 10:21:39 [RMI TCP Connection(1)-172.36.137.55] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-17 10:24:55 [XNIO-1 task-1] INFO  c.f.f.listener.UserActionListener - <0><1515516627759493120> user doLogout, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiSWpIYnl0aGxicGptS2w0OVpRS2EzUkc1YlFsTVREcWIifQ.MlRSbRVG1RUn5m6BmipZc0mMN1jGX8HMW0V0QNmWP3g
2022-04-17 10:25:01 [schedule-pool-1] INFO  c.f.s.s.i.SysLogininforServiceImpl - <0><1515516651235012608> [127.0.0.1]内网IP[admin][Error][验证码错误]
2022-04-17 10:27:25 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.16.Final
2022-04-17 10:27:25 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-04-17 10:27:25 [SpringApplicationShutdownHook] INFO  c.f.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-04-17 10:27:25 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-04-17 10:27:25 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-04-17 10:27:25 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-04-17 10:27:25 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-04-17 10:27:25 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-04-17 10:27:28 [main] INFO  com.fzshuai.OloasApplication - Starting fzshuaiApplication using Java 1.8.0_311 on FZSHUAI with PID 13828 (F:\Idea Project\oloas-back\fzshuai-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-04-17 10:27:28 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.2.Final
2022-04-17 10:27:28 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
