2022-05-07 10:11:48 [schedule-pool-2] INFO  c.f.s.s.i.SysLogininforServiceImpl - <0><1522445517715247104> [127.0.0.1]内网IP[admin][Error][验证码已失效]
2022-05-07 10:16:42 [XNIO-1 task-4] INFO  c.f.f.listener.UserActionListener - <0><1522762317443186688> user doLogout, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiVWZLbE9YVlcxd2owZXZzZnAxcWlVRTB6R0ZsSzl5MmUifQ.4vehm-Qt7ZASOr_y0GbQ80bfEJiylNKMjjs_uf0asLQ
2022-05-07 10:16:42 [XNIO-1 task-3] INFO  c.f.f.listener.UserActionListener - <0><1522762317443186689> user doLogout, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiVWZLbE9YVlcxd2owZXZzZnAxcWlVRTB6R0ZsSzl5MmUifQ.4vehm-Qt7ZASOr_y0GbQ80bfEJiylNKMjjs_uf0asLQ
2022-05-07 10:16:59 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.17.Final
2022-05-07 10:16:59 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-05-07 10:16:59 [SpringApplicationShutdownHook] INFO  c.f.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-05-07 10:16:59 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-05-07 10:16:59 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-05-07 10:16:59 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-05-07 10:16:59 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-05-07 10:16:59 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-05-07 10:17:03 [main] INFO  com.fzshuai.OloasApplication - Starting OloasApplication using Java 1.8.0_311 on FZSHUAI with PID 27492 (F:\Idea Project\oloas-back\oloas-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-05-07 10:17:03 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-05-07 10:17:03 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-05-07 10:17:05 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-05-07 10:17:06 [redisson-netty-2-8] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-05-07 10:17:06 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-05-07 10:17:06 [main] INFO  c.f.framework.config.RedisConfig - 初始化 redis 配置
2022-05-07 10:17:06 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-05-07 10:17:07 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-05-07 10:17:07 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-05-07 10:17:07 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-05-07 10:17:07 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-05-07 10:17:07 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-05-07 10:17:09 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2022-05-07 10:17:09 [main] INFO  c.f.framework.config.JacksonConfig - 初始化 jackson 配置
2022-05-07 10:17:09 [main] INFO  o.f.s.b.ProcessEngineAutoConfiguration - No deployment resources were found for autodeployment
2022-05-07 10:17:09 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2022-05-07 10:17:09 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-05-07 10:17:09 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-05-07 10:17:10 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-05-07 10:17:10 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2022-05-07 10:17:11 [main] INFO  liquibase.changelog - Reading from oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-05-07 10:17:11 [main] INFO  liquibase.lockservice - Successfully released change log lock
2022-05-07 10:17:11 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2022-05-07 10:17:11 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2022-05-07 10:17:11 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2022-05-07 10:17:12 [main] INFO  io.undertow - starting server: Undertow - 2.2.17.Final
2022-05-07 10:17:12 [main] INFO  org.xnio - XNIO version 3.8.6.Final
2022-05-07 10:17:12 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.6.Final
2022-05-07 10:17:12 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2022-05-07 10:17:13 [main] INFO  com.fzshuai.OloasApplication - Started OloasApplication in 10.63 seconds (JVM running for 11.403)
2022-05-07 10:17:13 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2022-05-07 10:17:13 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2022-05-07 10:17:13 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2022-05-07 10:17:13 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2022-05-07 10:17:13 [main] INFO  com.fzshuai.oss.factory.OssFactory - 初始化OSS工厂
2022-05-07 10:17:13 [main] INFO  c.f.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2022-05-07 10:17:13 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2022-05-07 10:17:13 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2022-05-07 10:17:14 [RMI TCP Connection(1)-172.36.137.210] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-07 10:20:18 [XNIO-1 task-1] INFO  c.f.f.listener.UserActionListener - <0><1522763218941714432> user doLogin, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiaE5vOUNEcnE2ZDBmSGtCVVJBS01uM2s3NTVsZGdzUmMifQ.WI6O5W8zGCeC11y6xaOrk6jU6-IW4foHaVhGFcTs4Oo
2022-05-07 10:20:18 [schedule-pool-1] INFO  c.f.s.s.i.SysLogininforServiceImpl - <0><1522763218941714432> [127.0.0.1]内网IP[admin][Success][登录成功]
2022-05-07 12:23:14 [XNIO-1 task-2] INFO  c.f.f.listener.UserActionListener - <0><1522794160620118016> user doLogout, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiaE5vOUNEcnE2ZDBmSGtCVVJBS01uM2s3NTVsZGdzUmMifQ.WI6O5W8zGCeC11y6xaOrk6jU6-IW4foHaVhGFcTs4Oo
2022-05-07 12:23:21 [XNIO-1 task-2] INFO  c.f.f.listener.UserActionListener - <0><1522794188403187712> user doLogin, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiVTJ4dWVXaXp6WFR3S29ieFNsUmZQRVVHS0NwV3hNZHYifQ.rb7IfPeAwhI3dyDyC60kKgJcWEzP1_RNeaV2605M83c
2022-05-07 12:23:21 [schedule-pool-1] INFO  c.f.s.s.i.SysLogininforServiceImpl - <0><1522763218941714432> [127.0.0.1]内网IP[admin][Success][登录成功]
2022-05-07 14:55:54 [XNIO-1 task-4] INFO  c.f.f.listener.UserActionListener - <0><1522832580331511808> user doLogout, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiVTJ4dWVXaXp6WFR3S29ieFNsUmZQRVVHS0NwV3hNZHYifQ.rb7IfPeAwhI3dyDyC60kKgJcWEzP1_RNeaV2605M83c
2022-05-07 14:55:59 [XNIO-1 task-4] INFO  c.f.f.listener.UserActionListener - <0><1522832597612044288> user doLogin, useId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpbklkIjoic3lzX3VzZXI6MSIsInJuIjoiaVU5QmRRNGw5RVo1M0UzOFRCUGlNdWJuVGxWbjNuNkYifQ.dlAvr6vmYaM_wucCrFaWsURFNSgr25qnL2MW-PE5CDk
2022-05-07 14:55:59 [schedule-pool-2] INFO  c.f.s.s.i.SysLogininforServiceImpl - <0><1522794188403187712> [127.0.0.1]内网IP[admin][Success][登录成功]
2022-05-07 15:48:12 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.17.Final
2022-05-07 15:48:12 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-05-07 15:48:12 [SpringApplicationShutdownHook] INFO  c.f.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-05-07 15:48:12 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-05-07 15:48:12 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-05-07 15:48:12 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-05-07 15:48:12 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-05-07 15:48:12 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-05-07 16:27:14 [main] INFO  com.fzshuai.OloasApplication - Starting OloasApplication using Java 1.8.0_311 on FZSHUAI with PID 23308 (F:\Idea Project\oloas-back\oloas-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-05-07 16:27:14 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-05-07 16:27:14 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-05-07 16:27:16 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-05-07 16:27:17 [redisson-netty-2-7] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-05-07 16:27:17 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-05-07 16:27:17 [main] INFO  c.f.framework.config.RedisConfig - 初始化 redis 配置
2022-05-07 16:27:17 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-05-07 16:27:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-05-07 16:27:18 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-05-07 16:27:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-05-07 16:27:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-05-07 16:27:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-05-07 16:27:20 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2022-05-07 16:27:20 [main] INFO  c.f.framework.config.JacksonConfig - 初始化 jackson 配置
2022-05-07 16:27:20 [main] INFO  o.f.s.b.ProcessEngineAutoConfiguration - No deployment resources were found for autodeployment
2022-05-07 16:27:20 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2022-05-07 16:27:20 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-05-07 16:27:20 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-05-07 16:27:21 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-05-07 16:27:22 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2022-05-07 16:27:22 [main] INFO  liquibase.changelog - Reading from oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-05-07 16:27:22 [main] INFO  liquibase.lockservice - Successfully released change log lock
2022-05-07 16:27:22 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2022-05-07 16:27:22 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2022-05-07 16:27:22 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2022-05-07 16:27:23 [main] INFO  io.undertow - starting server: Undertow - 2.2.17.Final
2022-05-07 16:27:23 [main] INFO  org.xnio - XNIO version 3.8.6.Final
2022-05-07 16:27:23 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.6.Final
2022-05-07 16:27:24 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2022-05-07 16:27:24 [main] INFO  com.fzshuai.OloasApplication - Started OloasApplication in 10.686 seconds (JVM running for 11.859)
2022-05-07 16:27:24 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2022-05-07 16:27:24 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2022-05-07 16:27:24 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2022-05-07 16:27:24 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2022-05-07 16:27:24 [main] INFO  com.fzshuai.oss.factory.OssFactory - 初始化OSS工厂
2022-05-07 16:27:24 [main] INFO  c.f.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2022-05-07 16:27:25 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2022-05-07 16:27:25 [main] INFO  c.f.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2022-05-07 16:27:25 [RMI TCP Connection(3)-172.36.137.210] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-07 17:03:06 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.2.17.Final
2022-05-07 17:03:06 [SpringApplicationShutdownHook] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2022-05-07 17:03:06 [SpringApplicationShutdownHook] INFO  c.f.f.manager.ShutdownManager - ====关闭后台任务任务线程池====
2022-05-07 17:03:07 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource start closing ....
2022-05-07 17:03:07 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2022-05-07 17:03:07 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-05-07 17:03:07 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-05-07 17:03:07 [SpringApplicationShutdownHook] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2022-05-07 17:20:49 [main] INFO  com.fzshuai.OloasApplication - Starting OloasApplication using Java 1.8.0_311 on FZSHUAI with PID 4876 (F:\Idea Project\oloas-back\oloas-admin\target\classes started by fzshuai in F:\Idea Project\oloas-back)
2022-05-07 17:20:49 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-05-07 17:20:49 [main] INFO  com.fzshuai.OloasApplication - The following 1 profile is active: "dev"
2022-05-07 17:20:50 [main] INFO  org.redisson.Version - Redisson 3.16.8
2022-05-07 17:20:51 [redisson-netty-2-4] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-05-07 17:20:51 [redisson-netty-2-3] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.168.75.128/192.168.75.128:6379
2022-05-07 17:20:51 [main] INFO  c.f.framework.config.RedisConfig - 初始化 redis 配置
2022-05-07 17:20:51 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-05-07 17:20:52 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2022-05-07 17:20:52 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1,master} inited
2022-05-07 17:20:52 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2022-05-07 17:20:52 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2022-05-07 17:20:52 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2022-05-07 17:20:54 [main] INFO  o.f.s.b.e.EventRegistryAutoConfiguration - No deployment resources were found for autodeployment
2022-05-07 17:20:54 [main] INFO  c.f.framework.config.JacksonConfig - 初始化 jackson 配置
2022-05-07 17:20:54 [main] INFO  o.f.s.b.ProcessEngineAutoConfiguration - No deployment resources were found for autodeployment
2022-05-07 17:20:54 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Found 1 Engine Configurators in total:
2022-05-07 17:20:54 [main] INFO  o.f.s.SpringProcessEngineConfiguration - class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-05-07 17:20:54 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing beforeInit() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-05-07 17:20:55 [main] INFO  o.f.s.SpringProcessEngineConfiguration - Executing configure() of class org.flowable.eventregistry.spring.configurator.SpringEventRegistryConfigurator (priority:100000)
2022-05-07 17:20:55 [main] INFO  liquibase.lockservice - Successfully acquired change log lock
2022-05-07 17:20:56 [main] INFO  liquibase.changelog - Reading from oloas_fzs.FLW_EV_DATABASECHANGELOG
2022-05-07 17:20:56 [main] INFO  liquibase.lockservice - Successfully released change log lock
2022-05-07 17:20:56 [main] INFO  o.f.e.impl.EventRegistryEngineImpl - EventRegistryEngine default created
2022-05-07 17:20:56 [main] INFO  o.f.engine.impl.ProcessEngineImpl - ProcessEngine default created
2022-05-07 17:20:56 [main] INFO  o.f.e.impl.cmd.ValidateV5EntitiesCmd - Total of v5 deployments found: 0
2022-05-07 17:20:57 [main] INFO  io.undertow - starting server: Undertow - 2.2.17.Final
2022-05-07 17:20:57 [main] INFO  org.xnio - XNIO version 3.8.6.Final
2022-05-07 17:20:57 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.6.Final
2022-05-07 17:20:57 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2022-05-07 17:20:58 [main] INFO  com.fzshuai.OloasApplication - Started OloasApplication in 9.928 seconds (JVM running for 10.697)
2022-05-07 17:20:58 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => minio
2022-05-07 17:20:58 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qiniu
2022-05-07 17:20:58 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => aliyun
2022-05-07 17:20:58 [main] INFO  c.f.s.s.impl.SysOssConfigServiceImpl - 发布刷新OSS配置 => qcloud
2022-05-07 17:20:58 [main] INFO  com.fzshuai.oss.factory.OssFactory - 初始化OSS工厂
